"Ph1code","HabNmPLUS","HabBroad","HabClass","HabCertainty","HabCrtScr","equivLCM2007","TotCarb","AirPurScore","Noise","Rough","HabNmbr","Erosion","Naturalness","Food","equivCLC2000","CostWood","CostHeath","CostMire","CostGrass","CostPond","CostLWet","Ph1Colour","Ph1ColBestFit","MainSource"
"A1","Woodland,(unknown type)","Other","Woodland and scrub","Moderate",5,"none",202,80,90,0.55,2,0.005,7.125,1,"Mixed / mosaic / uncertain",1,35,50,20,20,20,"J5","J5","EEA/NFI"
"A11","Woodland,Broadleaved,(unknown type)","Woodland, broadleaved","Woodland and scrub","Moderate",5,"Broadleaved woodland",273,80,80,0.6,2,0.005,7.75,1,"Broadleaved forest",1,35,50,20,20,20,"J5","A1.1","OS MM"
"A11/A2","Woodland,Broadleaved,(unknown type)/ with scrub","Woodland, broadleaved","Woodland and scrub","Moderate",5,"Broadleaved woodland",273,80,80,0.6,2,0.005,7.75,1,"Broadleaved forest",1,35,50,20,20,20,"J5","A1.1","OS MM"
"A11_AW","Woodland,Broadleaved,[ancient wood]","Woodland, broadleaved","Woodland and scrub","High",10,"Broadleaved woodland",273,80,80,0.6,2,0.005,8.75,1,"Broadleaved forest",1,35,50,20,20,20,"J5","A1.1","Combined"
"A111","Woodland,Broadleaved,Semi-natural","Woodland, broadleaved","Woodland and scrub","High",10,"Broadleaved woodland",273,80,80,0.6,2,0.005,8.75,1,"Broadleaved forest",1,35,50,20,20,20,"A1.1.1","A1.1.1","BAP or Habitats"
"A111/A2","Woodland,Broadleaved,Semi-natural/ with scrub","Woodland, broadleaved","Woodland and scrub","High",10,"Broadleaved woodland",273,80,80,0.6,2,0.005,8.75,1,"Broadleaved forest",1,35,50,20,20,20,"J5","A1.1.1","Wood survey or BAP or Habitats"
"A112","Woodland,Broadleaved,Plantation","Woodland, broadleaved","Woodland and scrub","High",10,"Broadleaved woodland",273,80,80,0.6,2,0.005,7.75,1,"Broadleaved forest",1,35,50,20,20,20,"A1.1.2","A1.1.2","BAP or Habitats"
"A112/A2","Woodland,Broadleaved,Plantation/ with scrub","Woodland, broadleaved","Woodland and scrub","High",10,"Broadleaved woodland",273,80,80,0.6,2,0.005,7.75,1,"Broadleaved forest",1,35,50,20,20,20,"J5","A1.1.2","Wood survey or BAP or Habitats"
"A11-O","Woodland,Broadleaved,Plantation,(orchard)","Woodland, broadleaved","Woodland and scrub","High",10,"Broadleaved woodland",103.1,80,80,0.6,2,0.005,7.75,10,"complex cultivation patterns, fruit trees and berry plantations",20,50,50,10,20,20,"A1.1.2","A1.1.2","BAP or Habitats"
"A112o_T","Woodland,Broadleaved,Plantation,(orchard),Traditional","Woodland, broadleaved","Woodland and scrub","High",10,"Broadleaved woodland",103.1,80,80,0.6,2,0.005,7.75,5,"complex cultivation patterns, fruit trees and berry plantations",20,50,50,10,20,20,"A1.1.2","A1.1.2","BAP or Habitats"
