"Ph1code","TotCarb","TotCarb_variability"
"A1",202,"20.2|202|383.8"
"A11",273,"27.3|273|518.7"
"A11-O",103.1,"10.31|103.1|195.89"
"A11/A2",273,"136.5|273|409.5"
"A11_AW",273,"27.3|273|518.7"
"A111",273,"136.5|273|409.5"
"A111/A2",273,"136.5|273|409.5"
"A112",273,"136.5|273|409.5"
"A112/A2",273,"27.3|273|518.7"
"A112o",103.1,"92.79|103.1|113.41"
"A112o_T",103.1,"51.55|103.1|154.65"
"A12",166.1,"83.05|166.1|249.15"
"A12/A2",166.1,"149.49|166.1|182.71"
"A12_AW",166.1,"83.05|166.1|249.15"
"A121",166.1,"16.61|166.1|315.59"
"A121/A2",166.1,"149.49|166.1|182.71"
"A122",166.1,"16.61|166.1|315.59"
"A122/A2",166.1,"16.61|166.1|315.59"
"A13",202,"181.8|202|222.2"
"A13/A2",202,"181.8|202|222.2"
"A131",202,"181.8|202|222.2"
"A131/A2",202,"181.8|202|222.2"
"A132",202,"20.2|202|383.8"
"A132/A2",202,"101|202|303"
"A2",103.1,"10.31|103.1|195.89"
"A21",103.1,"51.55|103.1|154.65"
"A22",103.1,"92.79|103.1|113.41"
"A2m",103.1,"51.55|103.1|154.65"
"A3",103.1,"10.31|103.1|195.89"
"A31",103.1,"51.55|103.1|154.65"
"A31/A2",103.1,"92.79|103.1|113.41"
"A32",103.1,"10.31|103.1|195.89"
"A32/A2",103.1,"10.31|103.1|195.89"
"A33",103.1,"92.79|103.1|113.41"
"A33/A2",103.1,"10.31|103.1|195.89"
"A3p",103.1,"51.55|103.1|154.65"
"A4",131,"117.9|131|144.1"
"A41",162,"16.2|162|307.8"
"A42",107,"96.3|107|117.7"
"A43",124,"111.6|124|136.4"
"Au_SN",166.73,"83.365|166.73|250.095"
"B/C31",99.62,"9.962|99.62|189.278"
"B11",124.1,"12.41|124.1|235.79"
"B11a",124.1,"111.69|124.1|136.51"
"B11m",124.1,"12.41|124.1|235.79"
"B12",124.1,"111.69|124.1|136.51"
"B21",124.1,"12.41|124.1|235.79"
"B22",124.1,"62.05|124.1|186.15"
"B31",124.1,"111.69|124.1|136.51"
"B32",124.1,"62.05|124.1|186.15"
"B4",124.1,"111.69|124.1|136.51"
"B4/Bu",124.1,"111.69|124.1|136.51"
"B4/J11",100.53,"10.053|100.53|191.007"
"B4/J11Urb",99.62,"89.658|99.62|109.582"
"B4f",124.1,"62.05|124.1|186.15"
"B4Urb",124.1,"111.69|124.1|136.51"
"B5",151.44,"136.296|151.44|166.584"
"B5/B(u)",151.44,"15.144|151.44|287.736"
"B5/E3/F",151.44,"136.296|151.44|166.584"
"B5/E3/F/H2",151.44,"75.72|151.44|227.16"
"B5/E3/F/H2_Bu",137.77,"123.993|137.77|151.547"
"B6",124.1,"12.41|124.1|235.79"
"B6/J3",99.62,"89.658|99.62|109.582"
"B6/J3Urb",99.62,"9.962|99.62|189.278"
"Bu",124.1,"62.05|124.1|186.15"
"Bu/A11(A2)",113.6,"11.36|113.6|215.84"
"Bu/A112",198.55,"99.275|198.55|297.825"
"Bu/A12",145.1,"72.55|145.1|217.65"
"Bu/A122",145.1,"14.51|145.1|275.69"
"Bu_A1/A2",113.6,"56.8|113.6|170.4"
"Bu_A11",113.6,"56.8|113.6|170.4"
"Bu_A11/A2",113.6,"11.36|113.6|215.84"
"Bu_A112",198.55,"19.855|198.55|377.245"
"Bu_A12",145.1,"130.59|145.1|159.61"
"Bu_A2/A3",113.6,"56.8|113.6|170.4"
"Bu_A2/A31",113.6,"56.8|113.6|170.4"
"Bu_A31",113.6,"102.24|113.6|124.96"
"Bu_A32",113.6,"56.8|113.6|170.4"
"Bu_Au",124.1,"111.69|124.1|136.51"
"Bu1",124.1,"111.69|124.1|136.51"
"Bu1/A11(A2)",113.6,"56.8|113.6|170.4"
"Bu1/A11,A2",113.6,"11.36|113.6|215.84"
"Bu1/A112",198.55,"19.855|198.55|377.245"
"Bu1/A12",145.1,"130.59|145.1|159.61"
"Bu1/A122",145.1,"72.55|145.1|217.65"
"Bu1/A2",113.6,"102.24|113.6|124.96"
"Bu1/A2,A3",113.6,"56.8|113.6|170.4"
"Bu1/Bu2",124.1,"111.69|124.1|136.51"
"Bu1/Bu2Urb",99.62,"9.962|99.62|189.278"
"Bu2",124.1,"12.41|124.1|235.79"
"Bui",124.1,"62.05|124.1|186.15"
"BuiUrb",99.62,"9.962|99.62|189.278"
"Buu",99.62,"89.658|99.62|109.582"
"Buu/C31",99.62,"49.81|99.62|149.43"
"C11",110.11,"55.055|110.11|165.165"
