"Ph1code","HabNmPLUS","HabBroad","HabClass","Food","carbon_seq"
"A1","Woodland,(unknown type)","Other","Woodland and scrub",1,-13.16
"A11","Woodland,Broadleaved,(unknown type)","Woodland, broadleaved","Woodland and scrub",1,-13.64
"A11/A2","Woodland,Broadleaved,(unknown type)/ with scrub","Woodland, broadleaved","Woodland and scrub",1,-13.64
"A11_AW","Woodland,Broadleaved,[ancient wood]","Woodland, broadleaved","Woodland and scrub",1,-13.64
"A111","Woodland,Broadleaved,Semi-natural","Woodland, broadleaved","Woodland and scrub",1,-13.64
"A111/A2","Woodland,Broadleaved,Semi-natural/ with scrub","Woodland, broadleaved","Woodland and scrub",1,-13.64
"A112","Woodland,Broadleaved,Plantation","Woodland, broadleaved","Woodland and scrub",1,-13.64
"A112/A2","Woodland,Broadleaved,Plantation/ with scrub","Woodland, broadleaved","Woodland and scrub",1,-13.64
"A11-O","Woodland,Broadleaved,Plantation,(orchard)","Woodland, broadleaved","Woodland and scrub",10,-5.99
"A112o_T","Woodland,Broadleaved,Plantation,(orchard),Traditional","Woodland, broadleaved","Woodland and scrub",5,-2.89
"A112o","Woodland,Broadleaved,Plantation,(orchard)","Woodland, broadleaved","Woodland and scrub",10,-5.99
"A12","Woodland,Coniferous,(unknown type)","Woodland, coniferous","Woodland and scrub",1,-12.68
"A12/A2","Woodland,Coniferous,(unknown type)/ with scrub","Woodland, coniferous","Woodland and scrub",1,-12.68
"A12_AW","Woodland,Coniferous,[ancient wood]","Woodland, coniferous","Woodland and scrub",1,-12.68
"A121","Woodland,Coniferous,Semi-natural","Woodland, coniferous","Woodland and scrub",1,-12.68
"A121/A2","Woodland,Coniferous,Semi-natural/ with scrub","Woodland, coniferous","Woodland and scrub",1,-12.68
"A122","Woodland,Coniferous,Plantation","Woodland, coniferous","Woodland and scrub",1,-12.68
"A122/A2","Woodland,Coniferous,Plantation/ with scrub","Woodland, coniferous","Woodland and scrub",1,-12.68
"A13","Woodland,Mixed,(unknown type)","Woodland, mixed","Woodland and scrub",1,-13.16
"A13/A2","Woodland,Mixed,(unknown type)/ with scrub","Woodland, mixed","Woodland and scrub",1,-13.16
"A131","Woodland,Mixed,Semi-natural","Woodland, mixed","Woodland and scrub",1,-13.16
"A131/A2","Woodland,Mixed,Semi-natural/ with scrub","Woodland, mixed","Woodland and scrub",1,-13.16
"A132","Woodland,Mixed,Plantation","Woodland, mixed","Woodland and scrub",1,-13.16
"A132/A2","Woodland,Mixed,Plantation/ with scrub","Woodland, mixed","Woodland and scrub",1,-13.16
"A2","Scrub,(unknown),","Scrub","Woodland and scrub",NA,-2.89
"A21","Scrub,Dense/continuous,","Scrub","Woodland and scrub",NA,-2.89
"A22","Scrub,Scattered,","Scrub","Woodland and scrub",NA,-2.89
"A2m","Scrub,,(mountain)","Scrub","Woodland and scrub",NA,-2.89
"A3","Parkland/scattered trees,(unknown),","Trees / Parkland","Woodland and scrub",NA,-2.89
"A31","Parkland/scattered trees,Broadleaved,","Trees / Parkland","Woodland and scrub",NA,-2.89
"A31/A2","Parkland/scattered trees,Broadleaved,/ with scrub","Scrub","Woodland and scrub",NA,-2.89
"A32","Parkland/scattered trees,Coniferous,","Trees / Parkland","Woodland and scrub",NA,-2.89
"A32/A2","Parkland/scattered trees,Coniferous,/ with scrub","Trees / Parkland","Woodland and scrub",NA,-2.89
"A33","Parkland/scattered trees,Mixed,","Trees / Parkland","Woodland and scrub",NA,-2.89
"A33/A2","Parkland/scattered trees,Mixed,/ with scrub","Trees / Parkland","Woodland and scrub",NA,-2.89
"A3p","Parkland/scattered trees,,(parkland)","Trees / Parkland","Woodland and scrub",NA,-2.89
"A41","Recently felled,Broadleaved,","Felled woodland","Woodland and scrub",NA,-2.89
"A42","Recently felled,Coniferous,","Felled woodland","Woodland and scrub",NA,-2.89
"A43","Recently felled,Mixed,","Felled woodland","Woodland and scrub",NA,-2.89
"Au_SN","Woods/Trees/Scrub,,with semi-natural habitats","Mixed habitats","Mixed / other / uncertain",NA,-2.89
"B/C31","Grassland,(unknown),(unknown type)/ with Tall ruderal (rail verge)","Grassland, unknown","Grassland and marsh",NA,0
"B11","Grassland,Acid,Unimproved","Grassland, semi-natural","Grassland and marsh",NA,0
